1816.0,422
1716.0,1629
1709.0,449
1699.0,8592
1670.0,620
1656.0,2106
1651.0,2199
1647.0,1731
1639.0,3136
1635.0,836
1630.0,888
1630.0,346
1628.0,9072
1620.0,1727
1618.0,2534
1616.0,5338
1613.0,5804
1613.0,1418
1598.0,3748
1595.0,977
1582.0,686
1581.0,6802
1579.0,122
1571.0,2363
1566.0,8590
1565.0,1086
1562.0,1908
1561.0,401
1558.0,1895
1536.0,611
1532.0,4821
1532.0,539
1523.0,10224
1523.0,1885
1522.0,4638
1515.0,8726
1511.0,3373
1508.0,3793
1505.0,540
1504.0,4541
1501.0,8230
1498.0,3359
1492.0,4505
1489.0,614
1484.0,5115
1484.0,2890
1483.0,1111
1479.0,6863
1473.0,2186
1473.0,339
1466.0,6326
1460.0,116
1439.0,8622
1417.0,6213
