Norm EPA,team #
1999,1690
1865,2231
1815,5614
1803,5990
1775,2230
1734,3339
1727,1942
1695,7039
1674,1574
1657,5987
1649,4744
1645,2096
1643,4590
1642,3075
1638,5635
1629,3065
1626,8175
1613,5715
1602,4320
1592,7112
1586,1937
1583,5554
1578,7845
1575,1577
1572,8223
1565,4586
1548,3083
1540,4338
1537,3316
1532,9740
1528,5654
1525,3211
1521,9738
1509,5135
1508,6738
1507,6104
1497,4416
1476,3388
1457,4661
1451,7067
