1853.0,1771
1767.0,2974
1676.0,6919
1639.0,1833
1632.0,1261
1630.0,1683
1609.0,1648
1608.0,6340
1597.0,8866
1574.0,9260
1568.0,6023
1550.0,4026
1547.0,4112
1540.0,6829
1539.0,3318
1535.0,7451
1532.0,9480
1532.0,6925
1531.0,8080
1522.0,1002
1522.0,5109
1514.0,2415
1509.0,10482
1501.0,6944
1501.0,8100
1500.0,3635
1500.0,5293
1499.0,9477
1495.0,5608
1494.0,8736
1494.0,3344
1484.0,5074
1480.0,6705
1479.0,4188
1469.0,1414
1457.0,5900
1452.0,8865
1440.0,8849
1434.0,7538
1434.0,9522
1434.0,4468
1427.0,4240
1422.0,10376
1417.0,4459
1384.0,832
